GUID,GEOGID,GEOGDESC,T1_2T,T6_1_TH,T8_1_WT,T8_1_LFFJT,T8_1_ULGUPJT,T11_1_BIT,T11_1_BUT,T11_1_MT,T11_1_CDT,T11_1_CPT,T11_1_VT,T11_1_OTHT,T11_2_T1,T11_2_T2,T11_2_T3,T11_2_T4,T11_2_T5,T11_2_T6,T11_2_T7,T11_2_T8,T11_3_D1,T11_3_D2,T11_3_D3,T11_3_D4,T11_3_D5,T11_3_D6,T15_1_1C,T15_1_2C,T15_1_3C,T15_1_GE4C,T15_1_TC
EB9428B8-B443-407E-977B-9393FD73E1D0,CTY31_CC,Cork City,125657,49411,50483,919,8024,2667,7973,240,24460,11334,1712,111,3005,4483,6342,10780,17995,16351,3798,7891,24155,28793,11655,2093,1599,601,20389,9904,1842,540,47883
84B85B58-010E-45DB-BC55-E137BBE627E4,CTY31_CE,Clare,118817,43469,49511,666,6352,808,4868,121,34039,17537,3667,344,3160,4351,6077,10411,14484,18777,6744,5026,28057,20785,11631,3243,2792,1026,17803,16311,2652,816,61645
8A998E65-D3BE-4620-98DE-EBF44DE0285B,CTY31_CK,Cork County,417211,146442,179890,1827,16460,1788,20370,618,128695,63811,13523,1422,14321,20557,27671,43863,58261,56712,19034,15092,89093,77893,50815,15962,12853,3633,54439,60412,11230,3875,224453
F1CE5AB6-2A36-4E32-B04A-E79CCD016BCE,CTY31_CN,Cavan,76176,26899,30509,603,4810,239,5576,30,19919,10243,3355,359,3860,2881,3293,6368,7864,11022,5709,2735,17924,11915,6311,1812,2502,1989,11117,9700,1677,614,38004
D3A82C01-E07A-4554-8FE4-355EBB161F5A,CTY31_CW,Carlow,56932,20537,21973,434,4073,373,1966,38,14431,8071,1882,195,2406,2172,2450,4350,6226,7816,4379,2119,13659,8719,4229,1338,2043,1166,8654,6923,1215,441,27909
EC7DF314-E9AD-4B31-B76C-E3CE8796A87C,CTY31_DC,Dublin City,554554,211747,265670,4686,34514,34501,58407,1709,85215,27735,5613,383,18188,24815,33470,52768,79733,64315,16991,32889,67024,114947,82857,25878,19722,4324,85715,35531,5568,1357,178909
BCD3C654-AD8A-411B-BCD7-D2C210A9AB28,CTY31_DL,Donegal,159192,58505,58353,1167,11662,471,12413,100,37609,21503,6209,654,3041,4013,5261,11351,17165,23353,15260,6749,40177,24408,11281,3556,2974,1488,26440,18879,2613,747,75025
8CD118DF-9362-4D15-8028-16CB016E942C,CTY31_DR,Dún Laoghaire-Rathdown,218018,78601,95925,927,6789,9017,15257,855,49933,20662,2294,182,4602,9157,16235,28606,36184,23755,6462,10821,30893,43280,34610,13646,9291,1613,33633,27210,4638,1342,107335
DA8A143E-499D-4407-AE87-36E6C9F68EF9,CTY31_FL,Fingal,296020,96812,133971,1850,13565,5604,25865,875,76249,29124,5321,387,15042,18356,22104,31587,42779,36578,7967,14299,50729,51803,39334,17927,19846,5117,42172,34820,5129,1432,132927
FA241879-9706-4005-BFD7-FBF80C56C6EE,CTY31_GC,Galway City,78668,28859,34951,634,4541,2961,4973,129,18787,8451,1035,74,2037,2812,3646,7695,12182,10008,3000,6837,16448,19889,7646,1425,1256,549,12893,7059,1088,271,31359
9B0F930F-0337-4FCA-B95F-2500BC016DF8,CTY31_GY,Galway County,179390,63040,75116,936,9002,952,10057,167,52336,27134,6867,688,5949,7888,10759,16816,19284,26291,11719,7605,38214,27111,22008,7675,6748,2131,23839,26184,4212,1317,94111
F681A4DB-9F68-4E3A-98F1-754DA7A3F4BD,CTY31_KE,Kildare,222504,73596,95947,1395,10902,2405,14365,424,64152,28077,6007,562,11370,13735,15240,22024,29681,30691,9630,9846,42536,40279,24649,11228,15758,4811,27779,30223,5148,1799,110865
5F2BE378-1CF3-4332-A1D0-21EBAD4D24EF,CTY31_KK,Kilkenny,99232,34855,41363,578,5466,814,5014,116,27878,13354,3181,318,3216,3678,4897,9600,13984,13306,5799,3455,22020,18927,9528,2374,2076,1698,13578,13466,2331,829,50819
6F00ECFF-F079-40A7-97B7-B8391AFCF856,CTY31_KY,Kerry,147707,54493,61222,835,7866,1164,6514,157,38293,19720,5556,410,3654,4605,6261,10640,16947,23509,8155,6691,36358,23493,11589,2641,2709,1728,23335,18734,3224,997,74463
89D0FD4F-B387-461B-A8F0-0FCF37A9340E,CTY31_LD,Longford,40873,15122,15172,374,3327,227,2513,25,9877,5222,1328,156,1868,1214,1440,2906,3392,5434,4355,1556,9667,6223,3049,845,793,969,6765,4681,730,232,19245
0F2662EE-A38D-4001-AEAA-209C2058B3F8,CTY31_LH,Louth,128884,45448,50317,1145,8913,1467,8540,130,31097,16982,3472,318,5329,5377,5823,11155,16063,20207,6148,5049,30236,22063,9630,3251,5308,2753,19420,14009,2069,648,56237
BA1DDA73-2749-4473-A847-2BAAD5038176,CTY31_LK,Limerick City and County,194899,71224,77185,1481,11454,1888,8611,234,52228,26130,5053,524,5089,7337,10160,17260,26607,27703,9116,8723,41345,38802,19093,4633,3652,1694,28312,23517,4343,1375,93875
76CF8F82-CD46-41F7-A5AD-400A08468D2B,CTY31_LM,Leitrim,32044,12452,12728,197,1966,109,2032,20,8593,3757,1312,140,680,1005,1450,2365,3306,4706,2907,1307,7104,4961,2984,812,823,589,5390,4477,634,197,17034
76A974D4-60F2-4167-AB8E-6ADEFC878A57,CTY31_LS,Laois,84697,29107,33541,616,5452,449,4257,63,22170,12827,3026,301,3935,3704,4016,7086,10971,11534,4706,3077,18763,13444,6655,2416,4000,2457,11905,10814,1727,617,41182
7D3D6EF0-2287-488A-BD33-A9883D8F3AC4,CTY31_MH,Meath,195044,64234,83259,1092,9431,1133,14972,298,56526,24808,6684,580,11165,12146,13435,17471,23820,25595,11499,7563,39464,30434,21010,10340,13886,4775,23541,27683,4708,1705,99851
78AE611D-F9DA-4EC9-8ECE-846BFFFCA22D,CTY31_MN,Monaghan,61386,21689,25549,350,3481,179,4017,29,16328,8626,2931,299,2797,2423,2658,5599,7395,9599,3265,2243,15212,10695,4844,1373,1622,1165,8705,7900,1431,519,30874
0CE50849-C9F9-4C13-A0CF-6F98CD58B40F,CTY31_MO,Mayo,130507,48899,51439,768,7823,638,6651,83,33957,17706,5415,408,3491,4459,5129,8833,12485,21595,9986,6311,33774,19947,9250,2790,3213,1451,20850,17377,2593,791,66547
085B854E-1C5E-440B-929F-6E375069859E,CTY31_OY,Offaly,77961,27343,30287,553,5191,591,4235,70,19926,10637,2784,278,3399,3294,3648,6281,7985,10793,6100,2683,18622,11709,6094,1977,2805,1878,11181,9696,1763,601,38266
2D3544E6-A828-4BF7-A4B5-F3C3F3A1B11B,CTY31_RN,Roscommon,64544,24013,25819,412,3435,280,3227,38,17970,9301,2522,327,1773,2005,2695,4960,6432,9239,6691,2534,15077,10832,5040,1512,1679,1220,10159,8989,1478,402,34179
6C7D5F02-1D93-42BF-9B2E-91CE53906E32,CTY31_SD,South Dublin,278767,92523,119210,2030,16235,6899,25779,1111,71709,27672,5690,255,10362,15004,20758,29463,39639,35009,7500,13786,42929,55151,38035,13364,13476,3471,40417,31253,5148,1383,123899
15F5BE96-328E-4F88-A697-4ABA7341FD94,CTY31_SO,Sligo,65535,24831,26002,438,3812,490,3091,58,17502,8824,2203,216,1153,1568,2671,5163,7866,10130,5488,3197,16118,12315,5102,1211,942,606,10311,8610,1266,349,32725
F67663AB-74A6-4B8B-A2EA-C0B76AEB132B,CTY31_TY,Tipperary,159553,59276,63472,1056,9811,746,6766,156,42867,22566,4866,597,5762,6421,7670,13051,17849,24343,8895,5480,39096,24030,13330,4194,4335,2282,24201,20660,3747,1336,82106
8256B4AB-2EBB-46EA-BCFD-E9B5DA4BFD23,CTY31_WD,Waterford City and County,116176,43549,45595,852,7471,979,4477,162,30918,16821,2798,285,3744,4010,5123,9393,15716,18141,4853,4650,28277,22568,7607,2296,2280,1116,18151,14024,2258,751,55977
C26AC177-3D04-4F56-BC31-DC712289C410,CTY31_WH,Westmeath,88770,31813,35289,700,5966,735,4580,75,23320,12256,2835,285,3649,3355,3897,6925,10467,13143,6190,3617,21246,14516,6151,2195,3609,2266,13188,11108,1807,545,43005
9E71A548-10AA-4EC4-951D-05CA74EA7337,CTY31_WW,Wicklow,142425,49211,59134,791,7812,895,8173,294,37363,18187,3985,397,6136,8725,9707,12847,16700,18213,6440,5812,27369,19854,14599,7070,10355,3458,19430,18612,3421,1231,71841
32E5833E-7F3A-41B8-9E25-6B1C0F021EEC,CTY31_WX,Wexford,149722,54289,57759,1122,10356,654,7558,140,38094,21176,5184,462,6098,5380,6747,12603,17443,20427,8461,5556,34784,24099,11227,3177,4286,3042,22972,18648,3548,1354,76328
